,number_of_books_read,year
0,6,2014
1,6,2014
2,48,2014
3,8,2014
4,80,2014
5,20,2014
6,2,2014
7,8,2014
8,4,2014
9,5,2014
10,6,2014
11,30,2014
12,8,2014
13,20,2014
14,0,2014
15,80,2014
16,5,2014
17,6,2014
18,3,2014
19,10,2014
20,0,2014
21,0,2014
22,8,2014
23,20,2014
24,12,2014
25,3,2014
26,12,2014
27,50,2014
28,3,2014
29,5,2014
30,5,2014
31,10,2014
32,10,2014
33,2,2014
34,12,2014
35,0,2014
36,30,2014
37,0,2014
38,17,2014
39,50,2014
40,1,2014
41,6,2014
42,30,2014
43,85,2014
44,97,2014
45,30,2014
46,97,2014
47,6,2014
48,30,2014
49,12,2014
50,0,2014
51,1,2014
52,20,2014
53,20,2014
54,4,2014
55,25,2014
56,97,2014
57,4,2014
58,8,2014
59,30,2014
60,1,2014
61,3,2014
62,60,2014
63,97,2014
64,4,2014
65,15,2014
66,25,2014
67,15,2014
68,10,2014
69,0,2014
70,6,2014
71,25,2014
72,10,2014
73,1,2014
74,25,2014
75,6,2014
76,0,2014
77,6,2014
78,50,2014
79,24,2014
80,10,2014
81,10,2014
82,20,2014
83,2,2014
84,1,2014
85,20,2014
86,3,2014
87,0,2014
88,52,2014
89,3,2014
90,3,2014
91,7,2014
92,12,2014
93,10,2014
94,2,2014
95,11,2014
96,97,2014
97,50,2014
98,97,2014
99,3,2014
100,1,2014
101,0,2014
102,97,2014
103,97,2014
104,0,2014
105,5,2014
106,1,2014
107,97,2014
108,0,2014
109,24,2014
110,30,2014
111,75,2014
112,3,2014
113,4,2014
114,20,2014
115,3,2014
116,0,2014
117,5,2014
118,0,2014
119,5,2014
120,5,2014
121,3,2014
122,3,2014
123,50,2014
124,3,2014
125,10,2014
126,12,2014
127,5,2014
128,50,2014
129,4,2014
130,12,2014
131,50,2014
132,24,2014
133,50,2014
134,5,2014
135,1,2014
136,0,2014
137,5,2014
138,3,2014
139,3,2014
140,3,2014
141,0,2014
142,2,2014
143,52,2014
144,15,2014
145,8,2014
146,12,2014
147,12,2014
148,0,2014
149,10,2014
150,0,2014
151,0,2014
152,10,2014
153,10,2014
154,12,2014
155,0,2014
156,2,2014
157,11,2014
158,8,2014
159,1,2014
160,30,2014
161,20,2014
162,63,2014
163,2,2014
164,4,2014
165,12,2014
166,10,2014
167,5,2014
168,25,2014
169,36,2014
170,12,2014
171,10,2014
172,5,2014
173,6,2014
174,3,2014
175,25,2014
176,20,2014
177,0,2014
178,10,2014
179,15,2014
180,15,2014
181,0,2014
182,7,2014
183,24,2014
184,3,2014
185,1,2014
186,0,2014
187,15,2014
188,30,2014
189,14,2014
190,6,2014
191,25,2014
192,25,2014
193,0,2014
194,15,2014
195,0,2014
196,18,2014
197,25,2014
198,7,2014
199,7,2014
200,20,2014
201,0,2014
202,97,2014
203,0,2014
204,8,2014
205,8,2014
206,0,2014
207,0,2014
208,1,2014
209,21,2014
210,0,2014
211,0,2014
212,50,2014
213,50,2014
214,10,2014
215,10,2014
216,20,2014
217,25,2014
218,0,2014
219,6,2014
220,48,2014
221,0,2014
222,97,2014
223,8,2014
224,6,2014
225,50,2014
226,0,2014
227,50,2014
228,5,2014
229,6,2014
230,0,2014
231,3,2014
232,2,2014
233,12,2014
234,3,2014
235,0,2014
236,20,2014
237,5,2014
238,20,2014
239,0,2014
240,10,2014
241,12,2014
242,5,2014
243,3,2014
244,83,2014
245,0,2014
246,5,2014
247,30,2014
248,1,2014
249,50,2014
250,0,2014
251,2,2014
252,3,2014
253,6,2014
254,6,2014
255,0,2014
256,3,2014
257,1,2014
258,0,2014
259,6,2014
260,5,2014
261,3,2014
262,8,2014
263,0,2014
264,0,2014
265,20,2014
266,0,2014
267,30,2014
268,97,2014
269,2,2014
270,17,2014
271,0,2014
272,0,2014
273,0,2014
274,20,2014
275,25,2014
276,50,2014
277,70,2014
278,97,2014
279,0,2014
280,4,2014
281,20,2014
282,0,2014
283,0,2014
284,13,2014
285,2,2014
286,5,2014
287,12,2014
288,30,2014
289,0,2014
290,50,2014
291,3,2014
292,50,2014
293,7,2014
294,0,2014
295,3,2014
296,50,2014
297,12,2014
298,8,2014
299,1,2014
300,2,2014
301,15,2014
302,7,2014
303,10,2014
304,8,2014
305,10,2014
306,15,2014
307,1,2014
308,67,2014
309,2,2014
310,2,2014
311,50,2014
312,24,2014
313,4,2014
314,97,2014
315,12,2014
316,25,2014
317,0,2014
318,2,2014
319,5,2014
320,0,2014
321,3,2014
322,0,2014
323,0,2014
324,10,2014
325,10,2014
326,8,2014
327,0,2014
328,0,2014
329,3,2014
330,6,2014
331,1,2014
332,1,2014
333,10,2014
334,12,2014
335,6,2014
336,0,2014
337,50,2014
338,0,2014
339,6,2014
340,12,2014
341,50,2014
342,5,2014
343,20,2014
344,0,2014
345,12,2014
346,25,2014
347,5,2014
348,6,2014
349,1,2014
350,0,2014
351,14,2014
352,5,2014
353,15,2014
354,17,2014
355,10,2014
356,4,2014
357,20,2014
358,4,2014
359,7,2014
360,1,2014
361,32,2014
362,40,2014
363,0,2014
364,2,2014
365,16,2014
366,0,2014
367,1,2014
368,0,2014
369,10,2014
370,0,2014
371,1,2014
372,1,2014
373,4,2014
374,0,2014
375,0,2014
376,4,2014
377,10,2014
378,12,2014
379,0,2014
380,0,2014
381,1,2014
382,12,2014
383,15,2014
384,2,2014
385,12,2014
386,0,2014
387,1,2014
388,0,2014
389,1,2014
390,60,2014
391,3,2014
392,97,2014
393,25,2014
394,50,2014
395,10,2014
396,3,2014
397,97,2014
398,35,2014
399,12,2014
400,12,2014
401,10,2014
402,20,2014
403,25,2014
404,12,2014
405,1,2014
406,12,2014
407,97,2014
408,25,2014
409,0,2014
410,6,2014
411,3,2014
412,5,2014
413,0,2014
414,3,2014
415,2,2014
416,13,2014
417,35,2014
418,0,2014
419,3,2014
420,1,2014
421,4,2014
422,10,2014
423,10,2014
424,14,2014
425,0,2014
426,97,2014
427,0,2014
428,6,2014
429,2,2014
430,0,2014
431,2,2014
432,12,2014
433,50,2014
434,9,2014
435,20,2014
436,1,2014
437,50,2014
438,97,2014
439,4,2014
440,5,2014
441,0,2014
442,8,2014
443,10,2014
444,7,2014
445,0,2014
446,0,2014
447,4,2014
448,4,2014
449,50,2014
450,12,2014
451,3,2014
452,13,2014
453,40,2014
454,2,2014
455,0,2014
456,2,2014
457,2,2014
458,97,2014
459,10,2014
460,5,2014
461,1,2014
462,0,2014
463,5,2014
464,0,2014
465,2,2014
466,0,2014
467,24,2014
468,0,2014
469,2,2014
470,2,2014
471,97,2014
472,25,2014
473,0,2014
474,3,2014
475,2,2014
476,10,2014
477,4,2014
478,0,2014
479,30,2014
480,0,2014
481,6,2014
482,5,2014
483,0,2014
484,0,2014
485,17,2014
486,36,2014
487,0,2014
488,20,2014
489,4,2014
490,0,2014
491,0,2014
492,0,2014
493,6,2014
494,4,2014
495,1,2014
496,25,2014
497,3,2014
498,30,2014
499,5,2014
500,20,2014
501,5,2014
502,10,2014
503,3,2014
504,5,2014
505,97,2014
506,1,2014
507,0,2014
508,50,2014
509,5,2014
510,0,2014
511,2,2014
512,0,2014
513,8,2014
514,0,2014
515,4,2014
516,2,2014
517,1,2014
518,1,2014
519,4,2014
520,20,2014
521,4,2014
522,30,2014
523,12,2014
524,0,2014
525,6,2014
526,7,2014
527,2,2014
528,2,2014
529,10,2014
530,50,2014
531,13,2014
532,0,2014
533,3,2014
534,15,2014
535,25,2014
536,10,2014
537,0,2014
538,0,2014
539,0,2014
540,30,2014
541,0,2014
542,97,2014
543,30,2014
544,0,2014
545,0,2014
546,10,2014
547,0,2014
548,97,2014
549,5,2014
550,8,2014
551,0,2014
552,30,2014
553,3,2014
554,0,2014
555,12,2014
556,0,2014
557,50,2014
558,6,2014
559,6,2014
560,0,2014
561,0,2014
562,50,2014
563,7,2014
564,36,2014
565,7,2014
566,0,2014
567,5,2014
568,8,2014
569,0,2014
570,18,2014
571,6,2014
572,20,2014
573,5,2014
574,15,2014
575,0,2014
576,10,2014
577,2,2014
578,1,2014
579,2,2014
580,7,2014
581,10,2014
582,6,2014
583,4,2014
584,5,2014
585,6,2014
586,50,2014
587,3,2014
588,3,2014
589,25,2014
590,12,2014
591,4,2014
592,35,2014
593,3,2014
594,6,2014
595,6,2014
596,10,2014
597,5,2014
598,1,2014
599,10,2014
600,4,2014
601,20,2014
602,0,2014
603,12,2014
604,40,2014
605,0,2014
606,25,2014
607,2,2014
608,10,2014
609,0,2014
610,6,2014
611,24,2014
612,15,2014
613,15,2014
614,6,2014
615,10,2014
616,0,2014
617,0,2014
618,12,2014
619,3,2014
620,5,2014
621,1,2014
622,4,2014
623,10,2014
624,5,2014
625,5,2014
626,1,2014
627,2,2014
628,13,2014
629,0,2014
630,5,2014
631,6,2014
632,10,2014
633,5,2014
634,13,2014
635,10,2014
636,0,2014
637,2,2014
638,20,2014
639,10,2014
640,0,2014
641,20,2014
642,4,2014
643,13,2014
644,0,2014
645,97,2014
646,0,2014
647,4,2014
648,4,2014
649,0,2014
650,6,2014
651,0,2014
652,4,2014
653,2,2014
654,12,2014
655,0,2014
656,30,2014
657,10,2014
658,25,2014
659,10,2014
660,4,2014
661,12,2014
662,5,2014
663,4,2014
664,40,2014
665,97,2014
666,16,2014
667,4,2014
668,0,2014
669,10,2014
670,15,2014
671,8,2014
672,0,2014
673,97,2014
674,6,2014
675,15,2014
676,3,2014
677,0,2014
678,10,2014
679,30,2014
680,7,2014
681,10,2014
682,0,2014
683,2,2014
684,2,2014
685,6,2014
686,4,2014
687,20,2014
688,3,2014
689,4,2014
690,10,2014
691,0,2014
692,0,2014
693,97,2014
694,97,2014
695,3,2014
696,5,2014
697,7,2014
698,13,2014
699,4,2014
700,12,2014
701,30,2014
702,0,2014
703,2,2014
704,0,2014
705,10,2014
706,5,2014
707,0,2014
708,50,2014
709,3,2014
710,3,2014
711,3,2014
712,0,2014
713,2,2014
714,9,2014
715,40,2014
716,2,2014
717,5,2014
718,0,2014
719,40,2014
720,16,2014
721,0,2014
722,4,2014
723,0,2014
724,2,2014
725,4,2014
726,1,2014
727,4,2014
728,15,2014
729,50,2014
730,0,2014
731,1,2014
732,15,2014
733,2,2014
734,20,2014
735,3,2014
736,4,2014
737,2,2014
738,20,2014
739,50,2014
740,97,2014
741,6,2014
742,5,2014
743,0,2014
744,34,2014
745,6,2014
746,0,2014
747,3,2014
748,12,2014
749,12,2014
750,5,2014
751,18,2014
752,33,2014
753,15,2014
754,0,2014
755,3,2014
756,10,2014
757,2,2014
758,10,2014
759,0,2014
760,50,2014
761,0,2014
762,10,2014
763,1,2014
764,97,2014
765,3,2014
766,0,2014
767,3,2014
768,6,2014
769,0,2014
770,5,2014
771,14,2014
772,1,2014
773,0,2014
774,0,2014
775,5,2014
776,3,2014
777,0,2014
778,20,2014
779,60,2014
780,10,2014
781,8,2014
782,50,2014
783,10,2014
784,15,2014
785,3,2014
786,2,2014
787,3,2014
788,2,2014
789,6,2014
790,8,2014
791,0,2014
792,97,2014
793,4,2014
794,5,2014
795,24,2014
796,4,2014
797,10,2014
798,10,2014
799,3,2014
800,5,2014
801,0,2014
802,15,2014
803,25,2014
804,0,2014
805,3,2014
806,75,2014
807,0,2014
808,15,2014
809,0,2014
810,7,2014
811,0,2014
812,3,2014
813,3,2014
814,0,2014
815,0,2014
816,3,2014
817,3,2014
818,0,2014
819,7,2014
820,10,2014
821,6,2014
822,1,2014
823,6,2014
824,20,2014
825,10,2014
826,0,2014
827,1,2014
828,3,2014
829,1,2014
830,2,2014
831,0,2014
832,0,2014
833,12,2014
834,12,2014
835,0,2014
836,6,2014
837,0,2014
838,13,2014
839,0,2014
840,1,2014
841,5,2014
842,5,2014
843,5,2014
844,5,2014
845,75,2014
846,0,2014
847,0,2014
848,5,2014
849,10,2014
850,5,2014
851,10,2014
852,12,2014
